rule,type,coef,support,importance
gdpuls <= -41.5 & gdpuls <= -31.5 & gdpuls > -89.5 & gdenergy > 14.5 & gdpuls > -66.5,rule,0.0,0.01953125,0.0
gdenergy > -86.0 & gdenergy <= 99.5 & gdpuls > 94.5 & gdpuls > -88.5,rule,-0.37165736949380873,0.00390625,0.02318317287036997
gdpuls <= -93.5 & gdenergy > -67.5,rule,-0.1766483400222052,0.00390625,0.011018936633965758
gdpuls <= 91.5 & gdenergy <= 99.5 & gdenergy <= 147.5,rule,0.8975351266692175,0.94140625,0.21079758932528725
gdenergy <= 105.0 & gdpuls > -81.5 & gdpuls <= 93.0,rule,0.0004523362365785583,0.9140625,0.00012677706235686564
gdpuls > -78.5 & gdenergy > 69.0 & gdpuls <= 81.0 & gdpuls <= -27.5,rule,-0.6345135506084709,0.015625,0.07869211211299737
gdpuls <= 9.5 & gdenergy > 94.5,rule,-1.7744948915965408,0.015625,0.22007213371495157
gdenergy <= 105.0 & gdpuls > -91.0 & gdenergy > -86.5 & gdpuls <= 121.5,rule,0.006788592676403492,0.9140625,0.0019026506555423796
gdenergy > 88.0 & gdpuls > 13.0,rule,0.0,0.05859375,0.0
gdenergy <= -93.0 & gdpuls > -85.5,rule,-1.053914639199134,0.00390625,0.06574088737819078
gdpuls > 10.0 & gdenergy > 94.5 & gdenergy <= 109.5,rule,0.6838904360096243,0.01171875,0.07359824407237493
gdpuls > -88.5 & gdpuls > 101.0 & gdenergy <= 88.0 & gdenergy > -84.5,rule,0.0,0.00390625,0.0
gdpuls <= 83.0 & gdpuls > -27.5 & gdenergy > 54.5,rule,0.0,0.0859375,0.0
gdenergy > 110.5 & gdpuls <= 93.5,rule,-0.3299934450261936,0.01953125,0.04566539417586172
gdpuls <= -83.5 & gdpuls > -93.5 & gdenergy > -76.5,rule,0.3356940876850888,0.01953125,0.04645426467616368
gdpuls > 66.5 & gdenergy > 29.5 & gdpuls <= 96.0 & gdpuls > -85.5,rule,-0.015557692133909479,0.03515625,0.0028653319284527986
gdpuls > 95.5,rule,-0.15001656523136642,0.02734375,0.02446515355294821
gdpuls <= 89.5 & gdpuls > -89.0 & gdenergy <= -87.5 & gdenergy <= 111.5,rule,-0.6567922793959509,0.01171875,0.07068202147391105
gdenergy <= 89.0 & gdpuls > -85.5 & gdenergy > -87.5,rule,0.021192871992747504,0.89453125,0.006509527602475536
gdpuls > 88.5 & gdpuls <= 96.0,rule,0.1500826315784924,0.0234375,0.022705762994472047
gdpuls <= 81.5 & gdpuls <= -75.5,rule,0.0,0.08203125,0.0
gdenergy <= 99.5 & gdenergy > -91.0 & gdpuls > -77.5 & gdpuls <= 66.5,rule,-0.006995713525533276,0.828125,0.002639285186512324
gdenergy <= -80.5,rule,0.20741411081869077,0.06640625,0.05164422265930715
gdpuls > 87.5 & gdenergy > 51.5,rule,0.0,0.0390625,0.0
gdpuls <= -89.0,rule,0.0,0.01171875,0.0
gdenergy <= 89.5 & gdpuls > -81.5 & gdpuls > 81.5,rule,0.199999982483972,0.02734375,0.032616599870227275
gdpuls <= -89.5,rule,-0.30835035886261725,0.0078125,0.02714790676634948
gdpuls > -81.5 & gdenergy > 59.5,rule,-0.6070420467562561,0.12890625,0.20341745181967633
gdenergy <= -80.0,rule,-0.25545939568515413,0.06640625,0.06360706057606993
gdenergy <= -76.5 & gdenergy > -85.5 & gdenergy <= 95.0 & gdpuls > -81.0,rule,0.040043593913599795,0.046875,0.008464057779236261
gdpuls > -91.5 & gdpuls <= -8.5 & gdenergy > 57.5,rule,0.09384945156969496,0.0234375,0.014198334491411254
gdpuls <= 62.0 & gdenergy > 94.5,rule,0.0,0.0234375,0.0
gdenergy <= -85.5 & gdpuls > -79.0,rule,0.0,0.00390625,0.0
gdpuls > -81.5 & gdenergy <= 106.0,rule,0.012765075238113127,0.93359375,0.003178387358785794
gdpuls <= 1.0 & gdenergy > 95.5,rule,-0.027749889639795525,0.01171875,0.0029863601582262775
gdenergy > -86.5 & gdpuls > -81.5 & gdenergy > 53.5 & gdpuls <= 66.5 & gdpuls > -89.5,rule,-0.011674911789437336,0.0859375,0.0032721477968156295
gdpuls > -17.0 & gdenergy > 56.5,rule,0.0,0.125,0.0
gdenergy > -86.0 & gdenergy > 95.5 & gdpuls <= 93.0 & gdenergy > 97.5,rule,-0.14172444629202333,0.01171875,0.015251961191449876
gdpuls > 77.5 & gdenergy > 100.0,rule,0.0,0.03515625,0.0
gdpuls > -88.5 & gdpuls <= 13.5 & gdenergy <= 67.0 & gdenergy > -84.5 & gdpuls <= 101.0 & gdenergy <= 88.0,rule,0.058609476458624896,0.6953125,0.026976473703028067
gdenergy > -86.0 & gdpuls <= 93.0 & gdenergy <= 95.5,rule,-0.002082495655917508,0.890625,0.0006499659085503155
gdenergy > -86.5 & gdpuls > -81.5 & gdpuls <= 99.0 & gdenergy <= 93.5 & gdenergy <= 111.5,rule,0.06849741826217648,0.875,0.022653391771461633
gdpuls <= 89.0 & gdenergy <= 96.0,rule,0.0,0.9296875,0.0
gdenergy <= 105.5 & gdpuls <= 92.5 & gdenergy > 96.5 & gdpuls <= 89.5,rule,0.5337160519320134,0.015625,0.06619124738134415
gdenergy <= 17.0,rule,-0.1893592689786063,0.76171875,0.08067311494290386
gdenergy > -86.0 & gdenergy > -41.5 & gdpuls > -91.0 & gdpuls > 35.5,rule,-0.005029950721606283,0.11328125,0.001594173892652385
gdenergy > -86.5 & gdpuls > -75.5,rule,-0.013673202563315306,0.90234375,0.00405888060796137
gdenergy <= -87.5 & gdpuls > -85.5,rule,0.0,0.0078125,0.0
gdenergy > -86.5 & gdpuls <= -86.0,rule,-0.2126539237743449,0.0078125,0.018722562598658954
