gdenergy_max,gdenergy_min,gdpuls_max,gdpuls_min,size_rules,n_inliers_included,n_outliers_included,n_inliers,n_inliers_p0,n_inliers_p1,n_outliers_p1,n_outliers_p0,n_outliers
inf,17.0,inf,-inf,1,133,41,614,614,156,69,69,69
100.0,14.5,89.5,-85.5,6,132,9,614,614,156,69,69,69
inf,25.0,inf,-91.0,2,117,40,614,614,156,69,69,69
inf,31.5,inf,-27.5,4,93,32,614,614,156,69,69,69
88.0,-37.0,101.0,13.5,6,116,5,614,614,156,69,69,69
-67.5,-inf,-6.5,-inf,2,86,22,614,614,156,69,69,69
inf,42.5,inf,-48.5,4,75,32,614,614,156,69,69,69
inf,42.5,inf,-inf,2,75,37,614,614,156,69,69,69
inf,-26.5,inf,35.5,4,68,31,614,614,156,69,69,69
59.5,-inf,inf,14.5,2,87,10,614,614,156,69,69,69
inf,56.5,inf,-inf,1,52,35,614,614,156,69,69,69
inf,-inf,inf,35.5,1,69,33,614,614,156,69,69,69
36.5,-inf,-67.5,-91.0,3,76,21,614,614,156,69,69,69
inf,53.5,inf,-27.5,2,57,29,614,614,156,69,69,69
-67.5,-inf,96.0,-inf,2,86,24,614,614,156,69,69,69
inf,-91.0,inf,35.5,4,69,33,614,614,156,69,69,69
inf,-inf,-67.5,-inf,1,77,26,614,614,156,69,69,69
inf,57.5,inf,-inf,1,52,34,614,614,156,69,69,69
inf,-37.0,inf,32.5,3,75,32,614,614,156,69,69,69
inf,59.5,inf,-81.5,2,50,34,614,614,156,69,69,69
inf,54.5,inf,-inf,1,56,36,614,614,156,69,69,69
inf,53.5,inf,-19.0,2,55,29,614,614,156,69,69,69
13.5,-inf,-66.5,-inf,2,79,23,614,614,156,69,69,69
-67.5,-87.5,inf,-inf,2,84,13,614,614,156,69,69,69
inf,54.5,inf,-81.5,2,56,36,614,614,156,69,69,69
inf,65.5,inf,-inf,1,38,33,614,614,156,69,69,69
-67.5,-92.5,-7.5,-inf,3,86,17,614,614,156,69,69,69
inf,-41.5,inf,35.5,4,69,31,614,614,156,69,69,69
-67.5,-87.0,-4.5,-80.5,4,80,0,614,614,156,69,69,69
inf,59.0,inf,-17.0,2,47,27,614,614,156,69,69,69
inf,74.0,inf,-86.0,4,32,30,614,614,156,69,69,69
inf,-37.0,inf,35.5,2,69,31,614,614,156,69,69,69
inf,-87.5,inf,55.5,2,36,30,614,614,156,69,69,69
inf,54.5,inf,-47.0,3,56,31,614,614,156,69,69,69
inf,54.5,inf,-10.5,3,51,28,614,614,156,69,69,69
inf,13.5,inf,56.0,2,33,28,614,614,156,69,69,69
inf,-inf,inf,54.5,1,36,30,614,614,156,69,69,69
inf,59.5,inf,-27.5,2,48,28,614,614,156,69,69,69
-76.5,-inf,inf,-90.5,2,31,20,614,614,156,69,69,69
inf,-inf,inf,66.0,1,29,28,614,614,156,69,69,69
12.5,-inf,-67.5,-84.0,4,69,11,614,614,156,69,69,69
94.5,-inf,-77.5,-91.5,3,23,19,614,614,156,69,69,69
100.5,54.5,inf,-27.5,4,53,5,614,614,156,69,69,69
inf,54.5,inf,-12.0,3,52,28,614,614,156,69,69,69
inf,71.0,inf,10.0,2,29,25,614,614,156,69,69,69
inf,53.5,66.5,-81.5,5,40,15,614,614,156,69,69,69
inf,72.5,inf,6.0,2,29,25,614,614,156,69,69,69
0.5,-inf,-75.5,-inf,2,32,22,614,614,156,69,69,69
inf,59.0,64.0,-inf,2,32,14,614,614,156,69,69,69
inf,71.0,inf,4.0,3,30,25,614,614,156,69,69,69
